year,month,value
1976,3,334.26
1976,4,335.69
1976,5,336.38
1976,6,334.63
1976,7,331.39
1976,8,328.89
1976,9,328.55
1976,10,330.04
1976,11,331.86
1976,12,332.55
1977,1,333.67
1977,2,334.43
1977,3,334.89
1977,4,336.78
1977,5,337.86
1977,6,336.51
1977,7,334.77
1977,8,332.82
1977,9,330.86
1977,10,330.98
1977,11,332.87
1977,12,334.36
1978,1,335.57
1978,2,336.67
1978,3,337.59
1978,4,338.32
1978,5,339.39
1978,6,339.03
1978,7,335.94
1978,8,332.73
1978,9,331.34
1978,10,332.53
1978,11,334.41
1978,12,335.54
1979,1,337.03
1979,2,338.6
1979,3,339.34
1979,4,339.86
1979,5,341.14
1979,6,340.14
1979,7,336.62
1979,8,334.3
1979,9,333.24
1979,10,334.31
1979,11,336.83
1979,12,337.27
1980,7,340.28
1980,8,337.36
1980,9,335.77
1980,10,336.86
1980,11,338.28
1980,12,339.38
1981,1,341.11
1981,2,342.03
1981,3,342.54
1981,4,343.72
1981,5,344.18
1981,6,342.61
1981,7,339.65
1981,8,337.57
1981,9,336.81
1981,10,337.9
1981,11,339.35
1981,12,340.36
1982,1,341.74
1982,2,342.99
1982,3,343.74
1982,4,344.46
1982,5,344.92
1982,6,343.6
1982,7,340.93
1982,8,338.35
1982,9,336.82
1982,10,337.67
1982,11,339.91
1982,12,341.31
1983,1,342.16
1983,2,343.62
1983,3,344.98
1983,4,345.83
1983,5,346.32
1983,6,345.29
1983,7,343.15
1983,8,339.65
1983,9,338.45
1983,10,340.17
1983,11,341.87
1983,12,343.13
1984,1,344.46
1984,2,345.63
1984,3,346.51
1984,4,347.69
1984,5,348.22
1984,6,347.06
1984,7,343.81
1984,8,340.6
1984,9,340.36
1984,10,341.71
1984,11,343.18
1984,12,344.7
1985,1,345.91
1985,2,346.65
1985,3,347.46
1985,4,348.67
1985,5,349.95
1985,6,349.05
1985,7,345.9
1985,8,342.7
1985,9,341.38
1985,10,342.72
1985,11,344.8
1985,12,346.45
1986,1,347.46
1986,2,347.83
1986,3,348.58
1986,4,349.66
1986,5,350.29
1986,6,349.62
1986,7,347.09
1986,8,344.8
1986,9,343.51
1986,10,344.02
1986,11,345.97
1986,12,347.78
1987,1,349.22
1987,2,349.64
1987,3,350.2
1987,4,351.54
1987,5,352.56
1987,6,351.42
1987,7,348.28
1987,8,346.25
1987,9,345.21
1987,10,346.09
1987,11,348.04
1987,12,349.66
1988,1,350.93
1988,2,352.03
1988,3,353.02
1988,4,354.33
1988,5,355.06
1988,6,353.77
1988,7,351.68
1988,8,348.63
1988,9,347.68
1988,10,349.38
1988,11,350.78
1988,12,352.1
1989,1,353.02
1989,2,353.38
1989,3,354.59
1989,4,356.31
1989,5,356.61
1989,6,355.23
1989,7,352.92
1989,8,350.23
1989,9,349.44
1989,10,350.39
1989,11,352.5
1989,12,354.04
1990,1,354.95
1990,2,356.12
1990,3,356.7
1990,4,357.31
1990,5,357.64
1990,6,355.96
1990,7,353.77
1990,8,351.94
1990,9,350.64
1990,10,351.36
1990,11,353.53
1990,12,355.04
1991,1,356.04
1991,2,357.06
1991,3,358.05
1991,4,359.56
1991,5,360.12
1991,6,358.48
1991,7,355.79
1991,8,352.87
1991,9,351.7
1991,10,353.01
1991,11,354.64
1991,12,356.08
1992,1,357.8
1992,2,358.61
1992,3,359.01
1992,4,359.82
1992,5,360.23
1992,6,358.45
1992,7,355.78
1992,8,353.73
1992,9,352.19
1992,10,353.12
1992,11,354.98
